canny_threshold1,canny_threshold2,min_line_length,max_line_gap,hough_threshold,false_positives,true_positives,precision,recall,f1_score
408,133,401,30,251,63,87,0.58,0.8787878787878788,0.6987951807228915
95,257,200,8,343,71,97,0.5773809523809523,0.9797979797979798,0.7265917602996254
75,375,472,1,496,0,14,1.0,0.1414141414141414,0.24778761061946902
328,325,53,2,286,34,73,0.6822429906542056,0.7373737373737373,0.7087378640776699
230,71,488,12,91,40,92,0.696969696969697,0.9292929292929293,0.7965367965367967
328,222,492,24,437,17,72,0.8089887640449438,0.7272727272727273,0.7659574468085106
356,253,56,47,303,58,78,0.5735294117647058,0.7878787878787878,0.6638297872340425
223,57,154,13,357,113,98,0.46445497630331756,0.98989898989899,0.632258064516129
324,425,128,20,132,103,85,0.4521276595744681,0.8585858585858586,0.5923344947735192
390,241,144,29,64,114,96,0.45714285714285713,0.9696969696969697,0.6213592233009709
254,51,490,14,78,52,94,0.6438356164383562,0.9494949494949495,0.7673469387755102
50,50,500,50,500,113,99,0.4669811320754717,1.0,0.6366559485530546
50,183,50,10,145,114,99,0.4647887323943662,1.0,0.6346153846153846
471,100,500,22,50,22,76,0.7755102040816326,0.7676767676767676,0.7715736040609136
50,75,500,1,50,0,19,1.0,0.1919191919191919,0.3220338983050848
252,500,379,13,89,4,58,0.9354838709677419,0.5858585858585859,0.7204968944099379
346,50,447,11,94,16,85,0.8415841584158416,0.8585858585858586,0.85
355,153,457,6,201,1,59,0.9833333333333333,0.5959595959595959,0.742138364779874
410,50,455,10,87,8,67,0.8933333333333333,0.6767676767676768,0.7701149425287357
315,50,452,11,95,21,89,0.8090909090909091,0.898989898989899,0.8516746411483254
331,50,500,11,118,16,83,0.8383838383838383,0.8383838383838383,0.8383838383838383
336,50,426,12,500,30,77,0.719626168224299,0.7777777777777778,0.7475728155339805
93,275,500,16,50,45,95,0.6785714285714286,0.9595959595959596,0.7949790794979079
268,126,500,18,500,40,84,0.6774193548387096,0.8484848484848485,0.7533632286995515
424,101,50,5,50,114,98,0.46226415094339623,0.98989898989899,0.6302250803858521
326,146,455,11,50,6,84,0.9333333333333333,0.8484848484848485,0.888888888888889
50,463,500,22,50,31,74,0.7047619047619048,0.7474747474747475,0.7254901960784313
500,182,500,50,50,61,70,0.5343511450381679,0.7070707070707071,0.6086956521739131
112,248,500,33,500,73,88,0.546583850931677,0.8888888888888888,0.6769230769230768
50,404,50,39,500,55,73,0.5703125,0.7373737373737373,0.6431718061674008
58,316,50,1,500,59,80,0.5755395683453237,0.8080808080808081,0.6722689075630253
426,274,500,16,50,2,54,0.9642857142857143,0.5454545454545454,0.6967741935483871
306,426,462,10,50,2,47,0.9591836734693877,0.47474747474747475,0.6351351351351352
50,389,331,16,500,45,75,0.625,0.7575757575757576,0.6849315068493151
302,176,361,11,50,15,91,0.8584905660377359,0.9191919191919192,0.8878048780487805
312,147,409,11,50,10,87,0.8969072164948454,0.8787878787878788,0.8877551020408163
50,50,500,23,50,114,99,0.4647887323943662,1.0,0.6346153846153846
500,500,500,29,500,1,6,0.8571428571428571,0.06060606060606061,0.11320754716981131
273,197,417,12,50,9,87,0.90625,0.8787878787878788,0.8923076923076922
227,266,370,14,50,17,89,0.839622641509434,0.898989898989899,0.8682926829268292
178,409,50,9,50,114,98,0.46226415094339623,0.98989898989899,0.6302250803858521
230,282,500,18,50,13,74,0.8505747126436781,0.7474747474747475,0.7956989247311828
50,50,50,50,50,114,99,0.4647887323943662,1.0,0.6346153846153846
255,194,378,11,50,12,89,0.8811881188118812,0.898989898989899,0.89
50,500,500,50,50,88,73,0.453416149068323,0.7373737373737373,0.5615384615384615
327,50,500,26,50,89,97,0.521505376344086,0.9797979797979798,0.6807017543859649
266,218,365,12,221,12,87,0.8787878787878788,0.8787878787878788,0.8787878787878788
500,50,50,50,500,26,55,0.6790123456790124,0.5555555555555556,0.611111111111111
273,189,369,13,50,20,95,0.8260869565217391,0.9595959595959596,0.8878504672897197
500,500,50,50,50,107,64,0.3742690058479532,0.6464646464646465,0.47407407407407404
216,50,50,37,500,109,97,0.470873786407767,0.9797979797979798,0.6360655737704919
273,232,342,12,50,15,86,0.8514851485148515,0.8686868686868687,0.86
281,154,414,12,50,13,90,0.8737864077669902,0.9090909090909091,0.891089108910891
215,204,393,13,93,13,92,0.8761904761904762,0.9292929292929293,0.9019607843137255
189,224,381,14,289,34,91,0.728,0.9191919191919192,0.8125
302,155,414,12,157,11,87,0.8877551020408163,0.8787878787878788,0.8832487309644671
480,50,500,22,500,20,58,0.7435897435897436,0.5858585858585859,0.655367231638418
211,211,425,12,50,6,86,0.9347826086956522,0.8686868686868687,0.9005235602094241
500,500,50,1,500,1,3,0.75,0.030303030303030304,0.05825242718446602
304,50,500,50,500,87,89,0.5056818181818182,0.898989898989899,0.6472727272727273
194,201,373,12,50,19,94,0.831858407079646,0.9494949494949495,0.8867924528301887
241,207,50,1,500,29,68,0.7010309278350515,0.6868686868686869,0.6938775510204082
95,500,50,17,500,18,53,0.7464788732394366,0.5353535353535354,0.6235294117647059
352,134,404,15,50,26,89,0.7739130434782608,0.898989898989899,0.8317757009345795
329,50,50,50,50,114,99,0.4647887323943662,1.0,0.6346153846153846
176,500,50,50,500,4,44,0.9166666666666666,0.4444444444444444,0.5986394557823129
500,50,50,36,50,114,97,0.4597156398104265,0.9797979797979798,0.6258064516129033
234,205,430,12,114,8,87,0.9157894736842105,0.8787878787878788,0.8969072164948454
50,256,50,32,50,114,99,0.4647887323943662,1.0,0.6346153846153846
220,172,500,42,50,112,99,0.46919431279620855,1.0,0.6387096774193548
263,174,50,1,50,112,99,0.46919431279620855,1.0,0.6387096774193548
265,292,50,10,500,20,62,0.7560975609756098,0.6262626262626263,0.6850828729281768
181,500,50,38,50,114,96,0.45714285714285713,0.9696969696969697,0.6213592233009709
50,500,289,14,50,36,75,0.6756756756756757,0.7575757575757576,0.7142857142857142
169,139,50,50,500,93,96,0.5079365079365079,0.9696969696969697,0.6666666666666666
50,500,500,33,500,22,55,0.7142857142857143,0.5555555555555556,0.6250000000000001
270,407,500,50,500,7,47,0.8703703703703703,0.47474747474747475,0.6143790849673203
108,312,313,19,50,87,98,0.5297297297297298,0.98989898989899,0.6901408450704225
500,50,50,21,50,114,97,0.4597156398104265,0.9797979797979798,0.6258064516129033
230,200,431,13,50,12,90,0.8823529411764706,0.9090909090909091,0.8955223880597014
50,50,500,38,50,114,99,0.4647887323943662,1.0,0.6346153846153846
500,50,500,36,50,64,71,0.5259259259259259,0.7171717171717171,0.6068376068376068
194,256,453,12,50,7,86,0.9247311827956989,0.8686868686868687,0.8958333333333334
140,500,500,15,50,5,53,0.9137931034482759,0.5353535353535354,0.6751592356687898
50,50,50,40,500,113,99,0.4669811320754717,1.0,0.6366559485530546
215,229,411,11,50,7,85,0.9239130434782609,0.8585858585858586,0.8900523560209425
